provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
oracle,focal,1.0,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
oracle,focal,1.1,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
oracle,astar,,152,True,37,37,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
oracle,focal,1.0,152,True,146,146,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
oracle,focal,1.1,152,True,145,145,3.6526002121550105,3.6332055171452415,1.0053381772427255,0,C_hard_spiral,1
scalar_hrm,astar,,140,True,133,133,3.6928385378366144,3.6332055171452415,1.0164133353893585,0,C_hard_spiral,1
scalar_hrm,focal,1.0,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
scalar_hrm,focal,1.1,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
scalar_hrm,astar,,152,True,133,133,3.6928385378366144,3.6332055171452415,1.0164133353893585,0,C_hard_spiral,1
scalar_hrm,focal,1.0,152,True,146,146,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
scalar_hrm,focal,1.1,152,True,144,144,3.7104002193755763,3.6332055171452415,1.0212469957633967,0,C_hard_spiral,1
scalar_onlstm,astar,,140,True,123,123,3.7683084086154066,3.6332055171452415,1.0371855901992357,0,C_hard_spiral,1
scalar_onlstm,focal,1.0,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
scalar_onlstm,focal,1.1,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
scalar_onlstm,astar,,152,True,123,123,3.7683084086154066,3.6332055171452415,1.0371855901992357,0,C_hard_spiral,1
scalar_onlstm,focal,1.0,152,True,146,146,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
scalar_onlstm,focal,1.1,152,True,145,145,3.720571680871383,3.6332055171452415,1.024046579064646,0,C_hard_spiral,1
field_unet,astar,,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_unet,focal,1.0,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_unet,focal,1.1,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_unet,astar,,152,True,149,149,3.66089098138156,3.6332055171452415,1.0076201206085562,0,C_hard_spiral,1
field_unet,focal,1.0,152,True,146,146,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
field_unet,focal,1.1,152,True,145,145,3.706038427932616,3.6332055171452415,1.0200464604723496,0,C_hard_spiral,1
field_onlstm,astar,,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_onlstm,focal,1.0,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_onlstm,focal,1.1,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_onlstm,astar,,152,True,142,142,3.7394497665136504,3.6332055171452415,1.029242565240815,0,C_hard_spiral,1
field_onlstm,focal,1.0,152,True,146,146,3.633205517145241,3.6332055171452415,0.9999999999999999,0,C_hard_spiral,1
field_onlstm,focal,1.1,152,True,144,144,3.859946337432393,3.6332055171452415,1.062407925788165,0,C_hard_spiral,1
field_hrm,astar,,140,True,133,133,3.6582460520614486,3.6332055171452415,1.0068921328006466,0,C_hard_spiral,1
field_hrm,focal,1.0,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
field_hrm,focal,1.1,140,False,140,140,nan,3.6332055171452415,nan,0,C_hard_spiral,1
