provider,mode,w,budget,found,expansions,arrival,optimal_arrival,suboptimality,closed,nonfinite,suite,world_index
field_hrm_blind,astar,,600,True,77,31,30.0,1.0333333333333334,77,0,C_dyn_rooms_large,0
field_hrm_blind,focal,1.0,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
field_hrm_blind,focal,1.1,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
euclid,astar,,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
euclid,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
euclid,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
euclid,astar,,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
euclid,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
euclid,focal,1.1,600,True,503,27,27.0,1.0,503,0,C_dyn_rooms_large,1
oracle,astar,,400,True,24,27,27.0,1.0,24,0,C_dyn_rooms_large,1
oracle,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
oracle,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
oracle,astar,,600,True,24,27,27.0,1.0,24,0,C_dyn_rooms_large,1
oracle,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
oracle,focal,1.1,600,True,463,27,27.0,1.0,463,0,C_dyn_rooms_large,1
scalar_hrm,astar,,400,True,43,29,27.0,1.0740740740740742,43,0,C_dyn_rooms_large,1
scalar_hrm,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_hrm,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_hrm,astar,,600,True,43,29,27.0,1.0740740740740742,43,0,C_dyn_rooms_large,1
scalar_hrm,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
scalar_hrm,focal,1.1,600,True,508,27,27.0,1.0,508,0,C_dyn_rooms_large,1
scalar_hrm_blind,astar,,400,True,260,27,27.0,1.0,260,0,C_dyn_rooms_large,1
scalar_hrm_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_hrm_blind,focal,1.1,400,True,341,27,27.0,1.0,341,0,C_dyn_rooms_large,1
scalar_hrm_blind,astar,,600,True,260,27,27.0,1.0,260,0,C_dyn_rooms_large,1
scalar_hrm_blind,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
scalar_hrm_blind,focal,1.1,600,True,341,27,27.0,1.0,341,0,C_dyn_rooms_large,1
scalar_onlstm,astar,,400,True,162,38,27.0,1.4074074074074074,162,0,C_dyn_rooms_large,1
scalar_onlstm,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_onlstm,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_onlstm,astar,,600,True,162,38,27.0,1.4074074074074074,162,0,C_dyn_rooms_large,1
scalar_onlstm,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
scalar_onlstm,focal,1.1,600,True,487,27,27.0,1.0,487,0,C_dyn_rooms_large,1
scalar_onlstm_blind,astar,,400,True,296,34,27.0,1.2592592592592593,296,0,C_dyn_rooms_large,1
scalar_onlstm_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_onlstm_blind,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
scalar_onlstm_blind,astar,,600,True,296,34,27.0,1.2592592592592593,296,0,C_dyn_rooms_large,1
scalar_onlstm_blind,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
scalar_onlstm_blind,focal,1.1,600,True,503,27,27.0,1.0,503,0,C_dyn_rooms_large,1
field_unet,astar,,400,True,103,31,27.0,1.1481481481481481,103,0,C_dyn_rooms_large,1
field_unet,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
field_unet,focal,1.1,400,True,340,27,27.0,1.0,340,0,C_dyn_rooms_large,1
field_unet,astar,,600,True,103,31,27.0,1.1481481481481481,103,0,C_dyn_rooms_large,1
field_unet,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
field_unet,focal,1.1,600,True,340,27,27.0,1.0,340,0,C_dyn_rooms_large,1
field_unet_blind,astar,,400,True,359,30,27.0,1.1111111111111112,359,0,C_dyn_rooms_large,1
field_unet_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
field_unet_blind,focal,1.1,400,True,360,27,27.0,1.0,360,0,C_dyn_rooms_large,1
field_unet_blind,astar,,600,True,359,30,27.0,1.1111111111111112,359,0,C_dyn_rooms_large,1
field_unet_blind,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
field_unet_blind,focal,1.1,600,True,360,27,27.0,1.0,360,0,C_dyn_rooms_large,1
field_hrm,astar,,400,True,188,29,27.0,1.0740740740740742,188,0,C_dyn_rooms_large,1
field_hrm,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
field_hrm,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
field_hrm,astar,,600,True,188,29,27.0,1.0740740740740742,188,0,C_dyn_rooms_large,1
field_hrm,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
field_hrm,focal,1.1,600,True,502,27,27.0,1.0,502,0,C_dyn_rooms_large,1
field_hrm_blind,astar,,400,True,377,27,27.0,1.0,377,0,C_dyn_rooms_large,1
field_hrm_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,1
field_hrm_blind,focal,1.1,400,True,341,27,27.0,1.0,341,0,C_dyn_rooms_large,1
field_hrm_blind,astar,,600,True,377,27,27.0,1.0,377,0,C_dyn_rooms_large,1
field_hrm_blind,focal,1.0,600,True,529,27,27.0,1.0,529,0,C_dyn_rooms_large,1
field_hrm_blind,focal,1.1,600,True,341,27,27.0,1.0,341,0,C_dyn_rooms_large,1
euclid,astar,,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
euclid,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
euclid,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
euclid,astar,,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
euclid,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
euclid,focal,1.1,600,True,429,27,27.0,1.0,429,0,C_dyn_rooms_large,2
oracle,astar,,400,True,78,27,27.0,1.0,78,0,C_dyn_rooms_large,2
oracle,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
oracle,focal,1.1,400,True,340,27,27.0,1.0,340,0,C_dyn_rooms_large,2
oracle,astar,,600,True,78,27,27.0,1.0,78,0,C_dyn_rooms_large,2
oracle,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
oracle,focal,1.1,600,True,340,27,27.0,1.0,340,0,C_dyn_rooms_large,2
scalar_hrm,astar,,400,True,151,27,27.0,1.0,151,0,C_dyn_rooms_large,2
scalar_hrm,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_hrm,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_hrm,astar,,600,True,151,27,27.0,1.0,151,0,C_dyn_rooms_large,2
scalar_hrm,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
scalar_hrm,focal,1.1,600,True,412,27,27.0,1.0,412,0,C_dyn_rooms_large,2
scalar_hrm_blind,astar,,400,True,214,27,27.0,1.0,214,0,C_dyn_rooms_large,2
scalar_hrm_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_hrm_blind,focal,1.1,400,True,337,27,27.0,1.0,337,0,C_dyn_rooms_large,2
scalar_hrm_blind,astar,,600,True,214,27,27.0,1.0,214,0,C_dyn_rooms_large,2
scalar_hrm_blind,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
scalar_hrm_blind,focal,1.1,600,True,337,27,27.0,1.0,337,0,C_dyn_rooms_large,2
scalar_onlstm,astar,,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_onlstm,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_onlstm,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_onlstm,astar,,600,False,600,-1,27.0,nan,600,0,C_dyn_rooms_large,2
scalar_onlstm,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
scalar_onlstm,focal,1.1,600,True,522,28,27.0,1.037037037037037,522,0,C_dyn_rooms_large,2
scalar_onlstm_blind,astar,,400,True,266,33,27.0,1.2222222222222223,266,0,C_dyn_rooms_large,2
scalar_onlstm_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
scalar_onlstm_blind,focal,1.1,400,True,288,27,27.0,1.0,288,0,C_dyn_rooms_large,2
scalar_onlstm_blind,astar,,600,True,266,33,27.0,1.2222222222222223,266,0,C_dyn_rooms_large,2
scalar_onlstm_blind,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
scalar_onlstm_blind,focal,1.1,600,True,288,27,27.0,1.0,288,0,C_dyn_rooms_large,2
field_unet,astar,,400,True,147,29,27.0,1.0740740740740742,147,0,C_dyn_rooms_large,2
field_unet,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_unet,focal,1.1,400,True,359,27,27.0,1.0,359,0,C_dyn_rooms_large,2
field_unet,astar,,600,True,147,29,27.0,1.0740740740740742,147,0,C_dyn_rooms_large,2
field_unet,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
field_unet,focal,1.1,600,True,359,27,27.0,1.0,359,0,C_dyn_rooms_large,2
field_unet_blind,astar,,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_unet_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_unet_blind,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_unet_blind,astar,,600,True,470,27,27.0,1.0,470,0,C_dyn_rooms_large,2
field_unet_blind,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
field_unet_blind,focal,1.1,600,True,422,27,27.0,1.0,422,0,C_dyn_rooms_large,2
field_hrm,astar,,400,True,154,31,27.0,1.1481481481481481,154,0,C_dyn_rooms_large,2
field_hrm,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_hrm,focal,1.1,400,True,298,27,27.0,1.0,298,0,C_dyn_rooms_large,2
field_hrm,astar,,600,True,154,31,27.0,1.1481481481481481,154,0,C_dyn_rooms_large,2
field_hrm,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
field_hrm,focal,1.1,600,True,298,27,27.0,1.0,298,0,C_dyn_rooms_large,2
field_hrm_blind,astar,,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_hrm_blind,focal,1.0,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_hrm_blind,focal,1.1,400,False,400,-1,27.0,nan,400,0,C_dyn_rooms_large,2
field_hrm_blind,astar,,600,False,600,-1,27.0,nan,600,0,C_dyn_rooms_large,2
field_hrm_blind,focal,1.0,600,True,464,27,27.0,1.0,464,0,C_dyn_rooms_large,2
field_hrm_blind,focal,1.1,600,True,416,27,27.0,1.0,416,0,C_dyn_rooms_large,2
euclid,astar,,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
euclid,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
euclid,focal,1.1,400,True,197,22,22.0,1.0,197,0,C_dyn_rooms_large,3
euclid,astar,,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
euclid,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
euclid,focal,1.1,600,True,197,22,22.0,1.0,197,0,C_dyn_rooms_large,3
oracle,astar,,400,True,17,22,22.0,1.0,17,0,C_dyn_rooms_large,3
oracle,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
oracle,focal,1.1,400,True,181,22,22.0,1.0,181,0,C_dyn_rooms_large,3
oracle,astar,,600,True,17,22,22.0,1.0,17,0,C_dyn_rooms_large,3
oracle,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
oracle,focal,1.1,600,True,181,22,22.0,1.0,181,0,C_dyn_rooms_large,3
scalar_hrm,astar,,400,True,283,22,22.0,1.0,283,0,C_dyn_rooms_large,3
scalar_hrm,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_hrm,focal,1.1,400,True,227,22,22.0,1.0,227,0,C_dyn_rooms_large,3
scalar_hrm,astar,,600,True,283,22,22.0,1.0,283,0,C_dyn_rooms_large,3
scalar_hrm,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_hrm,focal,1.1,600,True,227,22,22.0,1.0,227,0,C_dyn_rooms_large,3
scalar_hrm_blind,astar,,400,True,384,22,22.0,1.0,384,0,C_dyn_rooms_large,3
scalar_hrm_blind,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_hrm_blind,focal,1.1,400,True,206,22,22.0,1.0,206,0,C_dyn_rooms_large,3
scalar_hrm_blind,astar,,600,True,384,22,22.0,1.0,384,0,C_dyn_rooms_large,3
scalar_hrm_blind,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_hrm_blind,focal,1.1,600,True,206,22,22.0,1.0,206,0,C_dyn_rooms_large,3
scalar_onlstm,astar,,400,True,380,22,22.0,1.0,380,0,C_dyn_rooms_large,3
scalar_onlstm,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_onlstm,focal,1.1,400,True,226,22,22.0,1.0,226,0,C_dyn_rooms_large,3
scalar_onlstm,astar,,600,True,380,22,22.0,1.0,380,0,C_dyn_rooms_large,3
scalar_onlstm,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_onlstm,focal,1.1,600,True,226,22,22.0,1.0,226,0,C_dyn_rooms_large,3
scalar_onlstm_blind,astar,,400,True,336,29,22.0,1.3181818181818181,336,0,C_dyn_rooms_large,3
scalar_onlstm_blind,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_onlstm_blind,focal,1.1,400,True,158,22,22.0,1.0,158,0,C_dyn_rooms_large,3
scalar_onlstm_blind,astar,,600,True,336,29,22.0,1.3181818181818181,336,0,C_dyn_rooms_large,3
scalar_onlstm_blind,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
scalar_onlstm_blind,focal,1.1,600,True,158,22,22.0,1.0,158,0,C_dyn_rooms_large,3
field_unet,astar,,400,True,161,22,22.0,1.0,161,0,C_dyn_rooms_large,3
field_unet,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
field_unet,focal,1.1,400,True,223,22,22.0,1.0,223,0,C_dyn_rooms_large,3
field_unet,astar,,600,True,161,22,22.0,1.0,161,0,C_dyn_rooms_large,3
field_unet,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
field_unet,focal,1.1,600,True,223,22,22.0,1.0,223,0,C_dyn_rooms_large,3
field_unet_blind,astar,,400,True,155,22,22.0,1.0,155,0,C_dyn_rooms_large,3
field_unet_blind,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
field_unet_blind,focal,1.1,400,True,160,22,22.0,1.0,160,0,C_dyn_rooms_large,3
field_unet_blind,astar,,600,True,155,22,22.0,1.0,155,0,C_dyn_rooms_large,3
field_unet_blind,focal,1.0,600,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
field_unet_blind,focal,1.1,600,True,160,22,22.0,1.0,160,0,C_dyn_rooms_large,3
field_hrm,astar,,400,True,317,22,22.0,1.0,317,0,C_dyn_rooms_large,3
field_hrm,focal,1.0,400,True,241,22,22.0,1.0,241,0,C_dyn_rooms_large,3
