config,config_idx,K,world_idx,seed,arm,budget,found,cost,expansions,closed,opt_cost
C_hard_maze,0,2,3,31052150,h_legsum,200,True,2.231784984974542,152,152,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_oracle,200,True,2.231784984974542,25,25,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_next,400,True,2.231784984974542,284,284,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_legsum,400,True,2.231784984974542,152,152,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_oracle,400,True,2.231784984974542,25,25,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_next,800,True,2.231784984974542,284,284,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_legsum,800,True,2.231784984974542,152,152,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_oracle,800,True,2.231784984974542,25,25,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_next,1600,True,2.231784984974542,284,284,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_legsum,1600,True,2.231784984974542,152,152,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_oracle,1600,True,2.231784984974542,25,25,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_next,3200,True,2.231784984974542,284,284,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_legsum,3200,True,2.231784984974542,152,152,2.2317849849745426
C_hard_maze,0,2,3,31052150,h_oracle,3200,True,2.231784984974542,25,25,2.2317849849745426
C_hard_maze,0,2,4,31060069,h_next,100,False,nan,100,100,7.122527762569112
C_hard_maze,0,2,4,31060069,h_legsum,100,False,nan,100,100,7.122527762569112
C_hard_maze,0,2,4,31060069,h_oracle,100,True,7.122527762569108,75,75,7.122527762569112
C_hard_maze,0,2,4,31060069,h_next,200,False,nan,200,200,7.122527762569112
C_hard_maze,0,2,4,31060069,h_legsum,200,False,nan,200,200,7.122527762569112
C_hard_maze,0,2,4,31060069,h_oracle,200,True,7.122527762569108,75,75,7.122527762569112
C_hard_maze,0,2,4,31060069,h_next,400,False,nan,400,400,7.122527762569112
C_hard_maze,0,2,4,31060069,h_legsum,400,False,nan,400,400,7.122527762569112
C_hard_maze,0,2,4,31060069,h_oracle,400,True,7.122527762569108,75,75,7.122527762569112
C_hard_maze,0,2,4,31060069,h_next,800,True,7.122527762569108,517,517,7.122527762569112
C_hard_maze,0,2,4,31060069,h_legsum,800,True,7.122527762569108,517,517,7.122527762569112
C_hard_maze,0,2,4,31060069,h_oracle,800,True,7.122527762569108,75,75,7.122527762569112
C_hard_maze,0,2,4,31060069,h_next,1600,True,7.122527762569108,517,517,7.122527762569112
C_hard_maze,0,2,4,31060069,h_legsum,1600,True,7.122527762569108,517,517,7.122527762569112
C_hard_maze,0,2,4,31060069,h_oracle,1600,True,7.122527762569108,75,75,7.122527762569112
C_hard_maze,0,2,4,31060069,h_next,3200,True,7.122527762569108,517,517,7.122527762569112
C_hard_maze,0,2,4,31060069,h_legsum,3200,True,7.122527762569108,517,517,7.122527762569112
C_hard_maze,0,2,4,31060069,h_oracle,3200,True,7.122527762569108,75,75,7.122527762569112
C_hard_maze,0,2,5,31075907,h_next,100,False,nan,100,100,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_legsum,100,False,nan,100,100,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_oracle,100,True,2.7610806684086406,27,27,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_next,200,False,nan,200,200,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_legsum,200,False,nan,200,200,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_oracle,200,True,2.7610806684086406,27,27,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_next,400,False,nan,400,400,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_legsum,400,True,2.7610806684086406,281,281,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_oracle,400,True,2.7610806684086406,27,27,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_next,800,True,2.7610806684086406,404,404,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_legsum,800,True,2.7610806684086406,281,281,2.7610806684086393
C_hard_maze,0,2,5,31075907,h_oracle,800,True,2.7610806684086406,27,27,2.7610806684086393
