target,backbone,awareness,arm,K,binding_budget,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_dyn_maze_dense,scalar_hrm,aware,zero_shot,0,2500,1,0.3188054882970137,0.3188054882970137,0.3188054882970137,0.5
C_dyn_maze_dense,scalar_hrm,aware,lora,1,2500,3,0.2853107344632768,0.2627118644067797,0.3732849071832123,0.7166666666666667
C_dyn_maze_dense,scalar_hrm,aware,lora,4,2500,3,0.1807909604519774,0.1698950766747377,0.3692493946731235,0.8666666666666667
C_dyn_maze_dense,scalar_hrm,aware,lora,16,2500,3,0.12631154156577887,0.12187247780468119,0.22235673930589184,0.95
C_dyn_maze_dense,scalar_hrm,aware,full_ft,1,2500,3,0.19693301049233253,0.16908797417271992,0.6900726392251816,0.75
C_dyn_maze_dense,scalar_hrm,aware,full_ft,4,2500,3,0.19652945924132365,0.1880548829701372,0.5060532687651331,0.8833333333333333
C_dyn_maze_dense,scalar_hrm,aware,full_ft,16,2500,3,0.10048426150121065,0.0940274414850686,0.27280064568200163,0.9333333333333333
C_dyn_maze_dense,scalar_hrm,aware,scratch,1,2500,2,0.15112994350282488,0.13155770782889428,0.17070217917675545,0.4666666666666667
C_dyn_maze_dense,scalar_hrm,aware,scratch,4,2500,3,0.21105730427764327,0.13155770782889428,0.23648103309120258,0.8833333333333333
C_dyn_maze_dense,scalar_hrm,aware,scratch,16,2500,3,0.1606133979015335,0.12389023405972559,0.21307506053268765,0.9333333333333333
C_dyn_maze_dense,scalar_hrm,blind,zero_shot,0,2500,1,0.4043583535108959,0.4043583535108959,0.4043583535108959,0.6
C_dyn_maze_dense,scalar_hrm,blind,lora,1,2500,3,0.27522195318805487,0.19128329297820823,0.3083131557707829,0.7833333333333333
C_dyn_maze_dense,scalar_hrm,blind,lora,4,2500,3,0.25221953188054885,0.16142050040355124,0.29499596448748994,0.8833333333333333
C_dyn_maze_dense,scalar_hrm,blind,lora,16,2500,3,0.18361581920903955,0.1033091202582728,0.24253430185633576,0.95
C_dyn_maze_dense,scalar_hrm,blind,full_ft,1,2500,3,0.2820823244552058,0.09120258272800645,0.5581113801452785,0.5666666666666667
C_dyn_maze_dense,scalar_hrm,blind,full_ft,4,2500,3,0.19289749798224373,0.15012106537530268,0.6202582728006457,0.9333333333333333
C_dyn_maze_dense,scalar_hrm,blind,full_ft,16,2500,3,0.21993543179983857,0.11299435028248588,0.31799838579499595,0.9666666666666667
C_dyn_maze_dense,scalar_hrm,blind,scratch,1,2500,2,0.16767554479418886,0.15778853914447136,0.17756255044390637,0.4666666666666667
C_dyn_maze_dense,scalar_hrm,blind,scratch,4,2500,3,0.1993543179983858,0.12106537530266344,0.2288135593220339,0.9
C_dyn_maze_dense,scalar_hrm,blind,scratch,16,2500,3,0.18724778046811946,0.1844229217110573,0.21549636803874092,0.9166666666666666
C_dyn_maze_dense,scalar_onlstm,aware,zero_shot,0,2500,1,0.2707828894269572,0.2707828894269572,0.2707828894269572,0.4
C_dyn_maze_dense,scalar_onlstm,aware,lora,1,2500,3,0.34826472962066185,0.13236481033091202,0.40839386602098465,0.7
C_dyn_maze_dense,scalar_onlstm,aware,lora,4,2500,3,0.23728813559322035,0.12267958030669895,0.7021791767554479,0.9
C_dyn_maze_dense,scalar_onlstm,aware,lora,16,2500,3,0.2469733656174334,0.11945117029862792,0.3635996771589992,0.9666666666666667
C_dyn_maze_dense,scalar_onlstm,aware,full_ft,1,2500,3,0.3845843422114609,0.10129136400322841,0.4572235673930589,0.6666666666666666
C_dyn_maze_dense,scalar_onlstm,aware,full_ft,4,2500,3,0.17756255044390637,0.15778853914447136,0.36602098466505245,0.9166666666666666
C_dyn_maze_dense,scalar_onlstm,aware,full_ft,16,2500,3,0.10815173527037934,0.09160613397901533,0.45076674737691685,0.9333333333333333
C_dyn_maze_dense,scalar_onlstm,aware,scratch,1,2500,2,0.2009685230024213,0.1053268765133172,0.2966101694915254,0.4666666666666667
C_dyn_maze_dense,scalar_onlstm,aware,scratch,4,2500,3,0.16343825665859565,0.14729620661824053,0.7158999192897498,0.9333333333333333
C_dyn_maze_dense,scalar_onlstm,aware,scratch,16,2500,3,0.15375302663438256,0.10008071025020178,0.2974172719935432,0.95
C_dyn_maze_dense,scalar_onlstm,blind,zero_shot,0,2500,1,0.43664245359160614,0.43664245359160614,0.43664245359160614,0.6
C_dyn_maze_dense,scalar_onlstm,blind,lora,1,2500,3,0.2845036319612591,0.18886198547215496,0.5193704600484261,0.8333333333333334
C_dyn_maze_dense,scalar_onlstm,blind,lora,4,2500,3,0.22397094430992737,0.22235673930589184,0.2360774818401937,0.8666666666666667
C_dyn_maze_dense,scalar_onlstm,blind,lora,16,2500,3,0.21832122679580307,0.1509281678773204,0.3026634382566586,0.95
C_dyn_maze_dense,scalar_onlstm,blind,full_ft,1,2500,2,0.3192090395480226,0.22598870056497175,0.4124293785310734,0.5666666666666667
C_dyn_maze_dense,scalar_onlstm,blind,full_ft,4,2500,3,0.25020177562550444,0.20540758676351897,0.5472154963680388,0.9333333333333333
C_dyn_maze_dense,scalar_onlstm,blind,full_ft,16,2500,3,0.13599677158999193,0.10936238902340598,0.29015334947538335,0.9666666666666667
C_dyn_maze_dense,scalar_onlstm,blind,scratch,1,2500,2,0.17393058918482646,0.14769975786924938,0.20016142050040356,0.4666666666666667
C_dyn_maze_dense,scalar_onlstm,blind,scratch,4,2500,3,0.23405972558514931,0.20863599677159,0.2538337368845843,0.85
C_dyn_maze_dense,scalar_onlstm,blind,scratch,16,2500,3,0.20540758676351897,0.14245359160613397,0.258272800645682,0.95
C_dyn_maze_dense,field_unet,aware,zero_shot,0,2500,1,0.14487489911218726,0.14487489911218726,0.14487489911218726,0.6
C_dyn_maze_dense,field_unet,aware,lora,1,2500,3,0.16505246166263116,0.12590799031476999,0.17070217917675545,0.7833333333333333
C_dyn_maze_dense,field_unet,aware,lora,4,2500,3,0.08514931396287329,0.059322033898305086,0.08918482647296207,0.8833333333333333
C_dyn_maze_dense,field_unet,aware,lora,16,2500,3,0.058918482647296204,0.05770782889426957,0.07102502017756256,0.9666666666666667
C_dyn_maze_dense,field_unet,aware,full_ft,1,2500,3,0.11178369652945924,0.0847457627118644,0.6283292978208233,0.7
C_dyn_maze_dense,field_unet,aware,full_ft,4,2500,3,0.16707021791767554,0.10451977401129943,0.2062146892655367,0.8833333333333333
C_dyn_maze_dense,field_unet,aware,full_ft,16,2500,3,0.10088781275221953,0.09443099273607748,0.20379338175948344,0.95
C_dyn_maze_dense,field_unet,aware,scratch,1,2500,2,0.11662631154156577,0.08635996771589992,0.14689265536723164,0.4666666666666667
C_dyn_maze_dense,field_unet,aware,scratch,4,2500,3,0.1513317191283293,0.1368038740920097,0.32041969330104925,0.7833333333333333
C_dyn_maze_dense,field_unet,aware,scratch,16,2500,3,0.10613397901533494,0.09725585149313963,0.11178369652945924,0.95
C_dyn_maze_dense,field_unet,blind,zero_shot,0,2500,1,0.20984665052461662,0.20984665052461662,0.20984665052461662,0.8
C_dyn_maze_dense,field_unet,blind,lora,1,2500,3,0.12025827280064569,0.048426150121065374,0.22800645682001613,0.8333333333333334
C_dyn_maze_dense,field_unet,blind,lora,4,2500,3,0.07142857142857142,0.06698950766747377,0.1493139628732849,0.9
C_dyn_maze_dense,field_unet,blind,lora,16,2500,3,0.0754640839386602,0.031476997578692496,0.09725585149313963,0.9666666666666667
C_dyn_maze_dense,field_unet,blind,full_ft,1,2500,3,0.11662631154156577,0.10734463276836158,0.7231638418079096,0.6166666666666667
C_dyn_maze_dense,field_unet,blind,full_ft,4,2500,3,0.06941081517352704,0.05649717514124294,0.2324455205811138,0.8833333333333333
C_dyn_maze_dense,field_unet,blind,full_ft,16,2500,3,0.06295399515738499,0.05649717514124294,0.09927360774818401,0.9666666666666667
C_dyn_maze_dense,field_unet,blind,scratch,1,2500,2,0.17372881355932202,0.1529459241323648,0.19451170298627926,0.4666666666666667
C_dyn_maze_dense,field_unet,blind,scratch,4,2500,3,0.10613397901533494,0.09523809523809523,0.3022598870056497,0.8833333333333333
C_dyn_maze_dense,field_unet,blind,scratch,16,2500,3,0.13599677158999193,0.11945117029862792,0.23930589184826473,0.9666666666666667
C_dyn_crossing,scalar_hrm,aware,zero_shot,0,150,3,0.31543624161073824,0.2808219178082192,0.3484848484848485,1.0
C_dyn_crossing,scalar_hrm,aware,lora,1,150,9,0.3219178082191781,0.26515151515151514,0.4452054794520548,0.8333333333333334
C_dyn_crossing,scalar_hrm,aware,lora,4,150,9,0.13636363636363635,0.13013698630136986,0.2080536912751678,0.9666666666666667
C_dyn_crossing,scalar_hrm,aware,lora,16,150,9,0.11363636363636363,0.08904109589041095,0.2214765100671141,1.0
C_dyn_crossing,scalar_hrm,aware,full_ft,1,150,9,0.14383561643835616,0.12121212121212122,0.3221476510067114,0.9
C_dyn_crossing,scalar_hrm,aware,full_ft,4,150,9,0.21476510067114093,0.09848484848484848,0.2751677852348993,0.9333333333333333
C_dyn_crossing,scalar_hrm,aware,full_ft,16,150,9,0.1893939393939394,0.10606060606060606,0.26174496644295303,0.95
C_dyn_crossing,scalar_hrm,aware,scratch,1,150,6,0.1964236462259814,0.10273972602739725,0.2516778523489933,0.48333333333333334
C_dyn_crossing,scalar_hrm,aware,scratch,4,150,9,0.17123287671232876,0.12121212121212122,0.28187919463087246,0.9166666666666666
C_dyn_crossing,scalar_hrm,aware,scratch,16,150,9,0.1232876712328767,0.0958904109589041,0.2483221476510067,0.9666666666666667
C_dyn_crossing,scalar_hrm,blind,zero_shot,0,150,3,0.12080536912751678,0.09848484848484848,0.6506849315068494,0.95
C_dyn_crossing,scalar_hrm,blind,lora,1,150,9,0.2550335570469799,0.16666666666666666,0.4015151515151515,0.9
C_dyn_crossing,scalar_hrm,blind,lora,4,150,9,0.12121212121212122,0.0821917808219178,0.21476510067114093,0.95
C_dyn_crossing,scalar_hrm,blind,lora,16,150,9,0.15753424657534246,0.10273972602739725,0.22818791946308725,0.9666666666666667
C_dyn_crossing,scalar_hrm,blind,full_ft,1,150,9,0.1643835616438356,0.12121212121212122,0.28859060402684567,0.9666666666666667
C_dyn_crossing,scalar_hrm,blind,full_ft,4,150,9,0.20134228187919462,0.12121212121212122,0.2550335570469799,0.95
C_dyn_crossing,scalar_hrm,blind,full_ft,16,150,9,0.13013698630136986,0.11643835616438356,0.2684563758389262,0.9666666666666667
C_dyn_crossing,scalar_hrm,blind,scratch,1,150,6,0.20655971315620114,0.1232876712328767,0.25838926174496646,0.48333333333333334
C_dyn_crossing,scalar_hrm,blind,scratch,4,150,9,0.18791946308724833,0.1232876712328767,0.2191780821917808,0.8166666666666667
C_dyn_crossing,scalar_hrm,blind,scratch,16,150,9,0.1590909090909091,0.09848484848484848,0.26174496644295303,0.9666666666666667
C_dyn_crossing,scalar_onlstm,aware,zero_shot,0,150,3,0.3939393939393939,0.3422818791946309,0.3972602739726027,0.75
C_dyn_crossing,scalar_onlstm,aware,lora,1,150,9,0.4899328859060403,0.2671232876712329,0.6711409395973155,0.9333333333333333
C_dyn_crossing,scalar_onlstm,aware,lora,4,150,9,0.19463087248322147,0.17424242424242425,0.2953020134228188,0.95
C_dyn_crossing,scalar_onlstm,aware,lora,16,150,9,0.16666666666666666,0.08904109589041095,0.2348993288590604,0.9666666666666667
C_dyn_crossing,scalar_onlstm,aware,full_ft,1,150,9,0.2878787878787879,0.1780821917808219,0.348993288590604,0.9166666666666666
C_dyn_crossing,scalar_onlstm,aware,full_ft,4,150,9,0.2214765100671141,0.18791946308724833,0.3712121212121212,0.8833333333333333
C_dyn_crossing,scalar_onlstm,aware,full_ft,16,150,9,0.23972602739726026,0.1506849315068493,0.3624161073825503,0.9333333333333333
C_dyn_crossing,scalar_onlstm,aware,scratch,1,150,7,0.21476510067114093,0.10273972602739725,0.24161073825503357,0.5
C_dyn_crossing,scalar_onlstm,aware,scratch,4,150,9,0.20134228187919462,0.11363636363636363,0.2483221476510067,0.9166666666666666
C_dyn_crossing,scalar_onlstm,aware,scratch,16,150,9,0.2483221476510067,0.1095890410958904,0.26515151515151514,0.95
C_dyn_crossing,scalar_onlstm,blind,zero_shot,0,150,3,0.3904109589041096,0.10606060606060606,0.5167785234899329,1.0
C_dyn_crossing,scalar_onlstm,blind,lora,1,150,8,0.3386719544437665,0.3219178082191781,0.4697986577181208,0.7166666666666667
C_dyn_crossing,scalar_onlstm,blind,lora,4,150,8,0.3016575147447631,0.22818791946308725,0.5958904109589042,0.75
C_dyn_crossing,scalar_onlstm,blind,lora,16,150,9,0.17424242424242425,0.14383561643835616,0.2727272727272727,0.9833333333333333
C_dyn_crossing,scalar_onlstm,blind,full_ft,1,150,9,0.2483221476510067,0.1917808219178082,0.3560606060606061,0.8333333333333334
C_dyn_crossing,scalar_onlstm,blind,full_ft,4,150,9,0.20134228187919462,0.12878787878787878,0.2328767123287671,0.9333333333333333
C_dyn_crossing,scalar_onlstm,blind,full_ft,16,150,9,0.2054794520547945,0.12878787878787878,0.2348993288590604,0.9833333333333333
C_dyn_crossing,scalar_onlstm,blind,scratch,1,150,6,0.20690447733750114,0.11301369863013698,0.25838926174496646,0.48333333333333334
C_dyn_crossing,scalar_onlstm,blind,scratch,4,150,9,0.19863013698630136,0.14383561643835616,0.2684563758389262,0.8833333333333333
C_dyn_crossing,scalar_onlstm,blind,scratch,16,150,9,0.15151515151515152,0.09090909090909091,0.2328767123287671,0.9666666666666667
C_dyn_crossing,field_unet,aware,zero_shot,0,150,3,0.1917808219178082,0.1610738255033557,0.22727272727272727,1.0
C_dyn_crossing,field_unet,aware,lora,1,150,9,0.24242424242424243,0.19696969696969696,0.5704697986577181,0.9166666666666666
C_dyn_crossing,field_unet,aware,lora,4,150,9,0.24161073825503357,0.10273972602739725,0.26515151515151514,0.95
C_dyn_crossing,field_unet,aware,lora,16,150,9,0.11363636363636363,0.0821917808219178,0.2483221476510067,0.9666666666666667
C_dyn_crossing,field_unet,aware,full_ft,1,150,9,0.2214765100671141,0.14383561643835616,0.3356164383561644,0.95
C_dyn_crossing,field_unet,aware,full_ft,4,150,9,0.2080536912751678,0.11363636363636363,0.2671232876712329,0.95
C_dyn_crossing,field_unet,aware,full_ft,16,150,9,0.2214765100671141,0.1232876712328767,0.30303030303030304,0.9666666666666667
C_dyn_crossing,field_unet,aware,scratch,1,150,7,0.3767123287671233,0.2751677852348993,0.40268456375838924,0.5166666666666667
C_dyn_crossing,field_unet,aware,scratch,4,150,8,0.2609568842790319,0.13356721578198089,0.44966442953020136,0.7833333333333333
C_dyn_crossing,field_unet,aware,scratch,16,150,9,0.12121212121212122,0.1095890410958904,0.20134228187919462,0.95
C_dyn_crossing,field_unet,blind,zero_shot,0,150,3,0.1590909090909091,0.11409395973154363,0.17123287671232876,1.0
C_dyn_crossing,field_unet,blind,lora,1,150,9,0.2876712328767123,0.16666666666666666,0.3835616438356164,0.8333333333333334
C_dyn_crossing,field_unet,blind,lora,4,150,9,0.20454545454545456,0.136986301369863,0.2602739726027397,0.95
C_dyn_crossing,field_unet,blind,lora,16,150,9,0.18493150684931506,0.16666666666666666,0.22602739726027396,0.9666666666666667
C_dyn_crossing,field_unet,blind,full_ft,1,150,9,0.2878787878787879,0.19463087248322147,0.6060606060606061,0.9333333333333333
