target,backbone,arm,binding_budget,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C10_maze_tgt,hrm,zero_shot,150,24,0.5294117647058824,0.4359318996415771,0.6275696520218824,1.0
C10_maze_tgt,hrm,nearest,150,24,0.5125942684766214,0.46218487394957986,0.5972882303606374,1.0
C10_maze_tgt,hrm,uniform_wmerge,150,24,0.5,0.43750389044506693,0.6,1.0
C10_maze_tgt,hrm,rbf_wmerge,150,24,0.5078144078144078,0.4749486589039509,0.6174496644295302,0.9666666666666667
C10_maze_tgt,hrm,rbf_pmix,150,24,0.5194749694749695,0.475,0.6047633872976339,0.9666666666666667
C10_maze_tgt,onlstm,zero_shot,150,24,0.45515873015873015,0.40652148055918286,0.5255474452554745,1.0
C10_maze_tgt,onlstm,nearest,150,24,0.4422997094229971,0.37815126050420167,0.5036496350364964,0.9666666666666667
C10_maze_tgt,onlstm,uniform_wmerge,150,24,0.45102739726027397,0.4016393442622951,0.5851851851851851,0.9666666666666667
C10_maze_tgt,onlstm,rbf_wmerge,150,24,0.44269406392694066,0.38950498232079717,0.5555555555555556,0.9666666666666667
C10_maze_tgt,onlstm,rbf_pmix,150,24,0.4448545861297539,0.38540662166505946,0.4873785805799449,0.9666666666666667
C10_rooms_t25,hrm,zero_shot,150,17,0.7902097902097902,0.6551724137931034,0.863013698630137,1.0
C10_rooms_t25,hrm,nearest,150,17,0.7664233576642335,0.6758620689655173,0.8287671232876712,1.0
C10_rooms_t25,hrm,uniform_wmerge,150,17,0.781021897810219,0.7142857142857143,0.8513513513513513,0.9666666666666667
C10_rooms_t25,hrm,rbf_wmerge,150,17,0.7659574468085106,0.6689655172413793,0.8243243243243243,1.0
C10_rooms_t25,hrm,rbf_pmix,150,17,0.7664233576642335,0.6689655172413793,0.831081081081081,1.0
C10_rooms_t25,onlstm,zero_shot,150,17,0.6099290780141844,0.518796992481203,0.7593984962406015,1.0
C10_rooms_t25,onlstm,nearest,150,17,0.7272727272727273,0.6853146853146853,0.7819548872180451,0.9666666666666667
C10_rooms_t25,onlstm,uniform_wmerge,150,17,0.6382978723404256,0.574468085106383,0.6986301369863014,0.9666666666666667
C10_rooms_t25,onlstm,rbf_wmerge,150,17,0.6923076923076923,0.6595744680851063,0.7894736842105263,0.9666666666666667
C10_rooms_t25,onlstm,rbf_pmix,150,17,0.6923076923076923,0.6595744680851063,0.7894736842105263,0.9666666666666667
C10_rooms_t35,hrm,zero_shot,150,18,0.7483221476510067,0.6712089280582432,0.8490990990990992,0.9333333333333333
C10_rooms_t35,hrm,nearest,150,19,0.7464788732394366,0.6549295774647887,0.8333333333333334,0.9666666666666667
C10_rooms_t35,hrm,uniform_wmerge,150,19,0.7605633802816901,0.678082191780822,0.87248322147651,0.9666666666666667
C10_rooms_t35,hrm,rbf_wmerge,150,19,0.7605633802816901,0.6690140845070423,0.8333333333333334,0.9666666666666667
C10_rooms_t35,hrm,rbf_pmix,150,19,0.7676056338028169,0.6619718309859155,0.8333333333333334,0.9666666666666667
C10_rooms_t35,onlstm,zero_shot,150,19,0.6,0.5369127516778524,0.6938775510204082,1.0
C10_rooms_t35,onlstm,nearest,150,19,0.8082191780821918,0.6758620689655173,0.8732394366197183,1.0
C10_rooms_t35,onlstm,uniform_wmerge,150,19,0.6095890410958904,0.5486111111111112,0.6901408450704225,1.0
C10_rooms_t35,onlstm,rbf_wmerge,150,19,0.7162162162162162,0.6153846153846154,0.8309859154929577,1.0
C10_rooms_t35,onlstm,rbf_pmix,150,19,0.7094594594594594,0.610738255033557,0.8309859154929577,1.0
