stage,suite,world_index,method,backbone,expert_task,alpha,budget,found,cost,cost_ratio,oracle_cost,expansions,closed,roadmap_nodes,roadmap_edges,obstacle_count,side_len,heuristic_max,heuristic_min,heuristic_mean,heuristic_std,spearman_to_prm_oracle,heatmap_min,heatmap_max,heatmap_mean,heatmap_std,nonfinite_heuristic
c6,C_hard_maze_dense,0,euclidean,,,0.0,128,0,nan,nan,2.670567826291199,128,128,192,625,26,1.0,0.9533841183074395,0.0,0.49601310901949347,0.23665366132224655,0.9156742533163335,0.0,0.9533841183074395,0.49601310901949347,0.23665366132224655,0
c6,C_hard_maze_dense,0,euclidean,,,0.0,144,0,nan,nan,2.670567826291199,144,144,192,625,26,1.0,0.9533841183074395,0.0,0.49601310901949347,0.23665366132224655,0.9156742533163335,0.0,0.9533841183074395,0.49601310901949347,0.23665366132224655,0
c6,C_hard_maze_dense,0,euclidean,,,0.0,168,1,2.6705678262911996,1.0000000000000002,2.670567826291199,156,156,192,625,26,1.0,0.9533841183074395,0.0,0.49601310901949347,0.23665366132224655,0.9156742533163335,0.0,0.9533841183074395,0.49601310901949347,0.23665366132224655,0
c6,C_hard_maze_dense,0,grid_oracle,,,0.0,128,1,2.670653927346653,1.0000322407297078,2.670567826291199,125,125,192,625,26,1.0,2.570641497673698,0.005354848961907299,1.147929381759903,0.7079303773632275,0.9864871280145405,0.0,2.6128968241315027,1.1050443994562835,0.7009867297578815,0
c6,C_hard_maze_dense,0,grid_oracle,,,0.0,144,1,2.670653927346653,1.0000322407297078,2.670567826291199,125,125,192,625,26,1.0,2.570641497673698,0.005354848961907299,1.147929381759903,0.7079303773632275,0.9864871280145405,0.0,2.6128968241315027,1.1050443994562835,0.7009867297578815,0
c6,C_hard_maze_dense,0,grid_oracle,,,0.0,168,1,2.670653927346653,1.0000322407297078,2.670567826291199,125,125,192,625,26,1.0,2.570641497673698,0.005354848961907299,1.147929381759903,0.7079303773632275,0.9864871280145405,0.0,2.6128968241315027,1.1050443994562835,0.7009867297578815,0
c6,C_hard_maze_dense,0,unet,unet,,0.0,128,0,nan,nan,2.670567826291199,128,128,192,625,26,1.0,2.124903023114013,0.04645613974902574,1.0119623274533063,0.5567551391087809,0.9310996120771506,0.024168476462364197,1.5732008218765259,0.4963428885421308,0.3444648877086536,0
c6,C_hard_maze_dense,0,unet,unet,,0.0,144,1,2.670653927346653,1.0000322407297078,2.670567826291199,136,136,192,625,26,1.0,2.124903023114013,0.04645613974902574,1.0119623274533063,0.5567551391087809,0.9310996120771506,0.024168476462364197,1.5732008218765259,0.4963428885421308,0.3444648877086536,0
c6,C_hard_maze_dense,0,unet,unet,,0.0,168,1,2.670653927346653,1.0000322407297078,2.670567826291199,136,136,192,625,26,1.0,2.124903023114013,0.04645613974902574,1.0119623274533063,0.5567551391087809,0.9310996120771506,0.024168476462364197,1.5732008218765259,0.4963428885421308,0.3444648877086536,0
c6,C_hard_maze_dense,0,onlstm,onlstm,,0.0,128,0,nan,nan,2.670567826291199,128,128,192,625,26,1.0,1.90756196420678,0.023108471986690266,0.9398499803743668,0.5629819111761429,0.9320795920028214,0.01563008315861225,1.0527693033218384,0.4115447330104871,0.31966270531248675,0
c6,C_hard_maze_dense,0,onlstm,onlstm,,0.0,144,0,nan,nan,2.670567826291199,144,144,192,625,26,1.0,1.90756196420678,0.023108471986690266,0.9398499803743668,0.5629819111761429,0.9320795920028214,0.01563008315861225,1.0527693033218384,0.4115447330104871,0.31966270531248675,0
c6,C_hard_maze_dense,0,onlstm,onlstm,,0.0,168,1,2.7310923245606507,1.0226635315806625,2.670567826291199,151,151,192,625,26,1.0,1.90756196420678,0.023108471986690266,0.9398499803743668,0.5629819111761429,0.9320795920028214,0.01563008315861225,1.0527693033218384,0.4115447330104871,0.31966270531248675,0
c6,C_hard_maze_dense,0,hrm,hrm,,0.0,128,0,nan,nan,2.670567826291199,128,128,192,625,26,1.0,2.2956673804179686,0.0011285702084611036,0.9839141045224998,0.5893097048655848,0.9158268453462822,0.0007588242297060788,1.4151052236557007,0.4551193611612945,0.3624592311637481,0
c6,C_hard_maze_dense,0,hrm,hrm,,0.0,144,1,2.7598226454930344,1.033421663484125,2.670567826291199,132,132,192,625,26,1.0,2.2956673804179686,0.0011285702084611036,0.9839141045224998,0.5893097048655848,0.9158268453462822,0.0007588242297060788,1.4151052236557007,0.4551193611612945,0.3624592311637481,0
c6,C_hard_maze_dense,0,hrm,hrm,,0.0,168,1,2.7598226454930344,1.033421663484125,2.670567826291199,132,132,192,625,26,1.0,2.2956673804179686,0.0011285702084611036,0.9839141045224998,0.5893097048655848,0.9158268453462822,0.0007588242297060788,1.4151052236557007,0.4551193611612945,0.3624592311637481,0
c6,C_hard_maze_dense,1,euclidean,,,0.0,128,0,nan,nan,2.5891858669724774,128,128,192,629,39,1.0,0.9980025707426443,0.0,0.49500246346073856,0.2496158084602876,0.9325577136966609,0.0,0.9980025707426443,0.49500246346073856,0.2496158084602876,0
c6,C_hard_maze_dense,1,euclidean,,,0.0,144,1,2.589185866972478,1.0000000000000002,2.5891858669724774,140,140,192,629,39,1.0,0.9980025707426443,0.0,0.49500246346073856,0.2496158084602876,0.9325577136966609,0.0,0.9980025707426443,0.49500246346073856,0.2496158084602876,0
