provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
oracle,focal,1.0,152,True,148,148,2.6868604109522423,2.6868604109522423,1.0,0,C_hard_maze_dense,1
oracle,focal,1.1,152,True,139,139,2.710305378678193,2.6868604109522423,1.008725785541513,0,C_hard_maze_dense,1
scalar_hrm,astar,,140,True,86,86,2.693032576154646,2.6868604109522423,1.0022971663050468,0,C_hard_maze_dense,1
scalar_hrm,focal,1.0,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
scalar_hrm,focal,1.1,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
scalar_hrm,astar,,152,True,86,86,2.693032576154646,2.6868604109522423,1.0022971663050468,0,C_hard_maze_dense,1
scalar_hrm,focal,1.0,152,True,148,148,2.6868604109522423,2.6868604109522423,1.0,0,C_hard_maze_dense,1
scalar_hrm,focal,1.1,152,True,144,144,2.693188155693632,2.6868604109522423,1.0023550701464043,0,C_hard_maze_dense,1
scalar_onlstm,astar,,140,True,125,125,2.6925372376523664,2.6868604109522423,1.0021128104299666,0,C_hard_maze_dense,1
scalar_onlstm,focal,1.0,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
scalar_onlstm,focal,1.1,140,True,140,140,2.6925372376523664,2.6868604109522423,1.0021128104299666,0,C_hard_maze_dense,1
scalar_onlstm,astar,,152,True,125,125,2.6925372376523664,2.6868604109522423,1.0021128104299666,0,C_hard_maze_dense,1
scalar_onlstm,focal,1.0,152,True,148,148,2.6868604109522423,2.6868604109522423,1.0,0,C_hard_maze_dense,1
scalar_onlstm,focal,1.1,152,True,140,140,2.6925372376523664,2.6868604109522423,1.0021128104299666,0,C_hard_maze_dense,1
field_unet,astar,,140,True,111,111,2.6886477182123674,2.6868604109522423,1.0006652028712917,0,C_hard_maze_dense,1
field_unet,focal,1.0,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
field_unet,focal,1.1,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
field_unet,astar,,152,True,111,111,2.6886477182123674,2.6868604109522423,1.0006652028712917,0,C_hard_maze_dense,1
field_unet,focal,1.0,152,True,148,148,2.6868604109522423,2.6868604109522423,1.0,0,C_hard_maze_dense,1
field_unet,focal,1.1,152,True,142,142,2.7191274582486766,2.6868604109522423,1.0120092012093025,0,C_hard_maze_dense,1
field_onlstm,astar,,140,True,116,116,2.7465460719665447,2.6868604109522423,1.0222139046639753,0,C_hard_maze_dense,1
field_onlstm,focal,1.0,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
field_onlstm,focal,1.1,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
field_onlstm,astar,,152,True,116,116,2.7465460719665447,2.6868604109522423,1.0222139046639753,0,C_hard_maze_dense,1
field_onlstm,focal,1.0,152,True,148,148,2.6868604109522423,2.6868604109522423,1.0,0,C_hard_maze_dense,1
field_onlstm,focal,1.1,152,True,143,143,2.7468322849984466,2.6868604109522423,1.022320427887413,0,C_hard_maze_dense,1
field_hrm,astar,,140,True,96,96,2.7934554576921737,2.6868604109522423,1.0396727147809488,0,C_hard_maze_dense,1
field_hrm,focal,1.0,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
field_hrm,focal,1.1,140,False,140,140,nan,2.6868604109522423,nan,0,C_hard_maze_dense,1
field_hrm,astar,,152,True,96,96,2.7934554576921737,2.6868604109522423,1.0396727147809488,0,C_hard_maze_dense,1
field_hrm,focal,1.0,152,True,148,148,2.6868604109522423,2.6868604109522423,1.0,0,C_hard_maze_dense,1
field_hrm,focal,1.1,152,True,142,142,2.7209147655088017,2.6868604109522423,1.012674404080594,0,C_hard_maze_dense,1
